week,qtr,down,ydstogo,yardline_100,spread_line,yards_gained,shotgun,no_huddle,qb_dropback,qb_scramble,season,overtime,div_game,wind,temp,score_differential,game_half,play_type,pass_length,pass_location,run_location,run_gap,weekday,roof,surface,stadium,Injury
1,1.0,2.0,7.0,57.0,2.2011779595015577,0.0,0.0,0.0,0.0,0.0,2017.3086059190032,0.07145638629283489,0.3550428348909657,8.370931453427328,56.104544772761365,0.0,0,9,1,2,1,2,7,2,2,60,True
1,2.0,2.0,10.0,48.0,2.2011779595015577,39.0,1.0,0.0,1.0,0.0,2017.3086059190032,0.07145638629283489,0.3550428348909657,8.370931453427328,56.104544772761365,-7.0,0,5,0,3,2,2,7,2,2,60,True
1,3.0,4.0,11.0,65.0,2.2011779595015577,0.0,0.0,0.0,0.0,0.0,2017.3086059190032,0.07145638629283489,0.3550428348909657,8.370931453427328,56.104544772761365,-3.0,1,6,1,2,2,2,7,2,2,60,True
1,4.0,3.0,1.0,67.0,2.2011779595015577,6.0,0.0,0.0,0.0,0.0,2017.3086059190032,0.07145638629283489,0.3550428348909657,8.370931453427328,56.104544772761365,-4.0,1,9,1,2,1,2,7,2,2,60,True
1,3.0,2.0,4.0,86.0,-1.0,1.0,0.0,0.0,0.0,0.0,2010.0,1.0,0.0,9.0,65.0,0.0,1,9,1,2,3,1,3,4,1,21,True
1,4.0,1.9262403320128278,0.0,30.0,-1.0,0.0,0.0,0.0,0.0,0.0,2010.0,1.0,0.0,9.0,65.0,-3.0,1,2,1,2,2,2,3,4,1,21,True
1,1.0,2.0,16.0,61.0,1.0,3.0,0.0,0.0,0.0,0.0,2010.0,0.0,0.0,11.0,67.0,-3.0,0,9,1,2,3,1,1,4,0,38,True
1,1.0,4.0,1.0,69.0,5.5,0.0,0.0,0.0,0.0,0.0,2010.0,0.0,0.0,10.0,64.0,0.0,0,6,1,2,2,2,3,4,0,38,True
1,1.0,2.0,23.0,69.0,5.5,0.0,1.0,0.0,0.0,0.0,2010.0,0.0,0.0,10.0,64.0,0.0,0,4,1,2,2,2,3,4,0,38,True
1,2.0,1.9262403320128278,0.0,30.0,5.5,0.0,0.0,0.0,0.0,0.0,2010.0,0.0,0.0,10.0,64.0,-2.0,0,2,1,2,2,2,3,4,0,38,True
1,4.0,2.0,4.0,4.0,5.5,0.0,1.0,0.0,1.0,0.0,2010.0,0.0,0.0,10.0,64.0,-15.0,1,5,2,3,2,2,3,4,0,38,True
1,4.0,1.0,10.0,90.0,5.5,-7.0,1.0,0.0,1.0,0.0,2010.0,0.0,0.0,10.0,64.0,-13.0,1,5,1,2,2,2,3,4,0,38,True
1,2.0,2.0,6.0,76.0,5.0,0.0,0.0,0.0,1.0,0.0,2010.0,0.0,0.0,10.0,62.0,10.0,0,5,0,0,2,2,3,4,0,19,True
1,4.0,1.0,10.0,55.0,5.0,0.0,0.0,0.0,0.0,0.0,2010.0,0.0,0.0,10.0,62.0,14.0,1,9,1,2,3,0,3,4,0,19,True
1,4.0,2.0,10.0,55.0,5.0,7.0,0.0,0.0,1.0,0.0,2010.0,0.0,0.0,10.0,62.0,14.0,1,5,2,3,2,2,3,4,0,19,True
1,4.0,1.0,10.0,71.0,-3.5,5.0,0.0,0.0,0.0,0.0,2010.0,0.0,1.0,2.0,66.0,-3.0,1,9,1,2,0,0,3,4,1,14,True
1,4.0,1.0,10.0,59.0,-3.5,1.0,0.0,0.0,0.0,0.0,2010.0,0.0,1.0,2.0,66.0,3.0,1,9,1,2,3,0,3,4,1,14,True
1,4.0,1.9262403320128278,0.0,51.08406005574036,-3.5,0.0,0.0,0.0,0.0,0.0,2010.0,0.0,1.0,2.0,66.0,-1.9667355929155803,1,4,1,2,2,2,3,4,1,14,True
1,2.0,1.0,10.0,21.0,3.0,21.0,1.0,0.0,1.0,0.0,2010.0,0.0,0.0,10.0,90.0,0.0,0,5,2,0,2,2,3,4,1,13,True
1,2.0,3.0,7.0,17.0,6.5,0.0,0.0,0.0,0.0,0.0,2010.0,0.0,1.0,10.0,75.0,-4.0,0,4,1,2,2,2,3,4,1,48,True
1,2.0,1.9262403320128278,0.0,2.0,6.5,0.0,0.0,0.0,0.0,0.0,2010.0,0.0,1.0,10.0,75.0,-5.0,0,0,1,2,2,2,3,4,1,48,True
1,4.0,2.0,5.0,56.0,6.5,3.0,0.0,0.0,1.0,1.0,2010.0,0.0,1.0,10.0,75.0,-1.0,1,9,1,2,0,1,3,4,1,48,True
